epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3907,1.05682,2.64209,1.57575,0.00333,1,0.24132,0.0947,0.24396,3.10069,0.90732,0.000444444,0.000444444,0.000444444
2,31.6941,0.40648,2.36029,1.14235,0.00333,1,0.9725,0.71202,0.29453,3.11862,0.88599,0.00110011,0.00110011,0.00110011
3,45.1035,0.47005,2.1578,1.11623,0.00333,1,0.88164,0.76446,0.45332,3.26964,0.9643,0.00174258,0.00174258,0.00174258
4,58.9728,0.52922,1.97226,1.11922,0.00333,1,0.80072,0.25309,1.44581,3.96302,2.90841,0.0019406,0.0019406,0.0019406
5,72.5457,0.60133,1.78338,1.20239,0.00091,0.27273,0.0151,0.00224,4.17636,6.5705,7.41353,0.0019208,0.0019208,0.0019208
6,172.349,0.77246,1.69395,1.35052,0.00091,0.27273,0.0151,0.00224,4.17636,6.5705,7.41353,0.001901,0.001901,0.001901
