epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,599.348,0.20171,0.47367,0.92411,0.33148,1,0.39294,0.37584,0.42191,4.55402,0.93801,0.0011684,0.0011684,0.0011684
44,613.388,0.17967,0.4965,0.91713,0.33802,1,0.43614,0.40139,0.43865,4.2437,0.97298,0.0011486,0.0011486,0.0011486
45,627.088,0.18487,0.44901,0.91722,0.55102,1,0.7117,0.68703,0.31507,3.02162,0.87885,0.0011288,0.0011288,0.0011288
46,640.405,0.19581,0.4499,0.91785,0.55102,1,0.7117,0.68703,0.31507,3.02162,0.87885,0.001109,0.001109,0.001109
47,654.186,0.17906,0.44336,0.88353,0.62023,1,0.96731,0.95192,0.25879,2.46887,0.80371,0.0010892,0.0010892,0.0010892
48,667.934,0.16871,0.45124,0.93597,0.66307,1,0.995,0.98355,0.24876,2.45917,0.74961,0.0010694,0.0010694,0.0010694
49,681.661,0.16151,0.40801,0.89974,0.51858,1,0.995,0.96391,0.26828,2.46448,0.74116,0.0010496,0.0010496,0.0010496
50,695.195,0.17119,0.4232,0.89789,0.51858,1,0.995,0.96391,0.26828,2.46448,0.74116,0.0010298,0.0010298,0.0010298
51,708.669,0.1599,0.38722,0.91018,0.94799,1,0.995,0.92955,0.20954,1.46486,0.70195,0.00101,0.00101,0.00101
52,722.389,0.16883,0.40461,0.89419,0.97411,1,0.995,0.96882,0.2195,0.91472,0.71985,0.0009902,0.0009902,0.0009902
53,736.286,0.14993,0.39458,0.88892,0.99416,1,0.995,0.97777,0.24645,0.79786,0.75304,0.0009704,0.0009704,0.0009704
54,750.095,0.18015,0.4382,0.91806,0.99416,1,0.995,0.97777,0.24645,0.79786,0.75304,0.0009506,0.0009506,0.0009506
55,763.272,0.16982,0.44482,0.93803,0.99228,1,0.995,0.995,0.24017,0.82586,0.76576,0.0009308,0.0009308,0.0009308
56,776.898,0.16916,0.43376,0.92056,0.96843,1,0.995,0.995,0.20955,1.13823,0.73454,0.000911,0.000911,0.000911
57,790.239,0.17511,0.42333,0.91087,0.39744,1,0.98,0.98,0.24333,2.37375,0.77133,0.0008912,0.0008912,0.0008912
58,803.724,0.16675,0.40083,0.90223,0.39744,1,0.98,0.98,0.24333,2.37375,0.77133,0.0008714,0.0008714,0.0008714
59,817.211,0.14989,0.40633,0.8915,0.3976,1,0.90109,0.90109,0.21467,2.74525,0.73875,0.0008516,0.0008516,0.0008516
60,830.69,0.1492,0.39913,0.90629,0.39005,1,0.89152,0.89152,0.17409,2.94535,0.7089,0.0008318,0.0008318,0.0008318
61,844.128,0.1521,0.35564,0.90236,0.44176,1,0.88132,0.88132,0.19151,3.38801,0.7327,0.000812,0.000812,0.000812
62,857.815,0.18268,0.37589,0.92311,0.44176,1,0.88132,0.88132,0.19151,3.38801,0.7327,0.0007922,0.0007922,0.0007922
63,871.161,0.1636,0.38589,0.903,0.48721,1,0.8025,0.8025,0.25001,3.63118,0.76321,0.0007724,0.0007724,0.0007724
64,884.706,0.18859,0.41404,0.92572,0.48567,1,0.59,0.54041,0.30133,4.18068,0.80675,0.0007526,0.0007526,0.0007526
65,898.146,0.16878,0.41921,0.93427,0.48735,1,0.70203,0.66128,0.38763,3.63989,0.98258,0.0007328,0.0007328,0.0007328
66,911.498,0.14608,0.35953,0.91842,0.48735,1,0.70203,0.66128,0.38763,3.63989,0.98258,0.000713,0.000713,0.000713
67,924.836,0.14981,0.37072,0.89843,0.36017,1,0.69184,0.61215,0.36045,3.73666,0.98133,0.0006932,0.0006932,0.0006932
